HMDB_ID;CPD_NAME;KEGG_ID;MOL_WEIGHT;CHEM_FORM
HMDB0086845;CL(i-12:0/a-13:0/i-18:0/i-22:0)[rac];;1367.897;C74H144O17P2
HMDB0086846;CL(i-12:0/a-13:0/18:2(9Z,11Z)/i-24:0)[rac];;1391.919;C76H144O17P2
HMDB0086847;CL(i-12:0/i-13:0/i-18:0/i-24:0);;1395.951;C76H148O17P2
HMDB0086848;CL(i-12:0/i-13:0/18:2(9Z,11Z)/i-24:0);;1391.919;C76H144O17P2
HMDB0086849;CL(i-12:0/a-13:0/i-18:0/i-24:0)[rac];;1395.951;C76H148O17P2
HMDB0086850;CL(i-12:0/a-13:0/i-18:0/a-25:0)[rac];;1409.978;C77H150O17P2
HMDB0086851;CL(i-12:0/i-13:0/18:2(9Z,11Z)/a-25:0)[rac];;1405.946;C77H146O17P2
HMDB0086852;CL(i-12:0/a-13:0/18:2(9Z,11Z)/a-25:0)[rac];;1405.946;C77H146O17P2
HMDB0086853;CL(i-12:0/i-13:0/i-18:0/a-25:0)[rac];;1409.978;C77H150O17P2
HMDB0086854;CL(i-12:0/i-13:0/i-19:0/i-12:0);;1241.654;C65H126O17P2
HMDB0086855;CL(i-12:0/a-13:0/i-19:0/i-12:0)[rac];;1241.654;C65H126O17P2
HMDB0086856;CL(i-12:0/a-13:0/i-19:0/a-13:0)[rac];;1255.681;C66H128O17P2
HMDB0086857;CL(i-12:0/i-13:0/i-19:0/i-13:0);;1255.681;C66H128O17P2
HMDB0086858;CL(i-12:0/a-13:0/i-19:0/i-13:0)[rac];;1255.681;C66H128O17P2
HMDB0086859;CL(i-12:0/i-13:0/i-19:0/a-13:0)[rac];;1255.681;C66H128O17P2
HMDB0086860;CL(i-12:0/i-13:0/i-19:0/i-14:0);;1269.708;C67H130O17P2
HMDB0086861;CL(i-12:0/a-13:0/i-19:0/i-14:0)[rac];;1269.708;C67H130O17P2
HMDB0086862;CL(i-12:0/a-13:0/i-19:0/a-15:0)[rac];;1283.735;C68H132O17P2
HMDB0086863;CL(i-12:0/i-13:0/i-19:0/i-15:0);;1283.735;C68H132O17P2
HMDB0086864;CL(i-12:0/a-13:0/i-19:0/i-15:0)[rac];;1283.735;C68H132O17P2
HMDB0086865;CL(i-12:0/i-13:0/i-19:0/a-15:0)[rac];;1283.735;C68H132O17P2
HMDB0086866;CL(i-12:0/i-13:0/i-19:0/i-16:0);;1297.762;C69H134O17P2
HMDB0086867;CL(i-12:0/a-13:0/i-19:0/i-16:0)[rac];;1297.762;C69H134O17P2
HMDB0086868;CL(i-12:0/a-13:0/i-19:0/a-17:0)[rac];;1311.789;C70H136O17P2
HMDB0086869;CL(i-12:0/i-13:0/i-19:0/i-17:0);;1311.789;C70H136O17P2
HMDB0086870;CL(i-12:0/a-13:0/i-19:0/i-17:0)[rac];;1311.789;C70H136O17P2
HMDB0086871;CL(i-12:0/i-13:0/i-19:0/a-17:0)[rac];;1311.789;C70H136O17P2
